id	Rank	P-Value
uniprot.O95816	189	9.749867392209676e-22
uniprot.P04637	190	1.5716672970767922e-21
uniprot.P0DMV8	191	3.8757583424475993e-22
uniprot.P29353	192	3.5943856447727895e-22
uniprot.P17066	193	2.5702077817097764e-22
uniprot.P62993	194	5.36448484014101e-22
uniprot.P0CG47	195	1.808356946339067e-22
uniprot.P10809	196	2.2323324584466304e-23
uniprot.P55072	197	7.786267285020624e-23
uniprot.P43405	198	1.7482090718582409e-22
uniprot.Q9UBN7	199	1.2095362165971535e-21
uniprot.P07550	200	3.658344637470849e-22
uniprot.P22303	undefined	undefined
uniprot.Q53HE2	undefined	undefined
uniprot.P36544	undefined	undefined
uniprot.Q6ZW49	undefined	undefined
uniprot.Q9UKV5	undefined	undefined
uniprot.Q53YK7	undefined	undefined
uniprot.Q546G0	undefined	undefined
uniprot.Q15392	undefined	undefined
uniprot.Q53XC0	undefined	undefined
uniprot.Q5W9H2	undefined	undefined
uniprot.P23560	undefined	undefined
uniprot.P62760	undefined	undefined
uniprot.P37231	undefined	undefined
uniprot.Q16555	undefined	undefined
uniprot.P10082	undefined	undefined
uniprot.B4DJ88	undefined	undefined
uniprot.B4DJ51	undefined	undefined
uniprot.B4DJT9	undefined	undefined
uniprot.B4DGD0	undefined	undefined
uniprot.Q5Y7H2	undefined	undefined
uniprot.B4DR82	undefined	undefined
uniprot.B4E2F2	undefined	undefined
uniprot.E5KSU5	undefined	undefined
uniprot.B4DNJ4	undefined	undefined
uniprot.B4DKH4	undefined	undefined
uniprot.P78509	undefined	undefined
uniprot.A0PJA6	undefined	undefined
uniprot.B4DV50	undefined	undefined
uniprot.P10909	undefined	undefined
uniprot.P10415	undefined	undefined
uniprot.E3UN46	undefined	undefined
uniprot.P10636	undefined	undefined
uniprot.P10635	undefined	undefined
uniprot.P25705	undefined	undefined
uniprot.Q9Y5K6	undefined	undefined
uniprot.Q9Y6A2	undefined	undefined
uniprot.Q5ZPJ1	undefined	undefined
uniprot.Q5ZPJ0	undefined	undefined
uniprot.Q96JQ5	undefined	undefined
uniprot.D2KUA6	undefined	undefined
uniprot.Q96AM7	undefined	undefined
uniprot.P11717	undefined	undefined
uniprot.Q5I0G1	undefined	undefined
uniprot.P12821	undefined	undefined
uniprot.Q30154	undefined	undefined
uniprot.V9HW26	undefined	undefined
uniprot.G4XH65	undefined	undefined
uniprot.A0S0A6	undefined	undefined
uniprot.Q30201	undefined	undefined
uniprot.Q6NXT4	undefined	undefined
uniprot.A0A2Z4LKS3	undefined	undefined
uniprot.P27338	undefined	undefined
uniprot.V9HWK1	undefined	undefined
uniprot.Q06AH7	undefined	undefined
uniprot.I6LPK7	undefined	undefined
uniprot.A0A494C1F9	undefined	undefined
uniprot.A0A1C7CYX9	undefined	undefined
uniprot.Q59GZ8	undefined	undefined
uniprot.Q59GB4	undefined	undefined
uniprot.Q59GC5	undefined	undefined
uniprot.Q59GJ6	undefined	undefined
uniprot.P00749	undefined	undefined
uniprot.P00734	undefined	undefined
uniprot.P14672	undefined	undefined
uniprot.P14735	undefined	undefined
uniprot.B5MCR8	undefined	undefined
uniprot.P29474	undefined	undefined
uniprot.E9PDY4	undefined	undefined
uniprot.A0A125SXW3	undefined	undefined
uniprot.A0A384MDW1	undefined	undefined
uniprot.Q07812	undefined	undefined
uniprot.A0A0K0K1K8	undefined	undefined
uniprot.A0A0K0K1K1	undefined	undefined
uniprot.A0A0K0K1J1	undefined	undefined
uniprot.P01584	undefined	undefined
uniprot.E9PFX5	undefined	undefined
uniprot.P01034	undefined	undefined
uniprot.E9PG40	undefined	undefined
uniprot.P15692	undefined	undefined
uniprot.P01375	undefined	undefined
uniprot.P01308	undefined	undefined
uniprot.P01344	undefined	undefined
uniprot.P01303	undefined	undefined
uniprot.P01023	undefined	undefined
uniprot.P41159	undefined	undefined
uniprot.A4D158	undefined	undefined
uniprot.A4D0Y8	undefined	undefined
uniprot.P02649	undefined	undefined
uniprot.P02787	undefined	undefined
uniprot.P16885	undefined	undefined
uniprot.Q4JF27	undefined	undefined
uniprot.P42574	undefined	undefined
uniprot.P17787	undefined	undefined
uniprot.A0A3B3ISG5	undefined	undefined
uniprot.P56817	undefined	undefined
uniprot.P0DP23	undefined	undefined
uniprot.P0DP24	undefined	undefined
uniprot.P0DP25	undefined	undefined
uniprot.Q8IZY2	undefined	undefined
uniprot.Q8IU67	undefined	undefined
uniprot.Q8IV08	undefined	undefined
uniprot.P17927	undefined	undefined
uniprot.P42898	undefined	undefined
uniprot.A0A0A0MRG2	undefined	undefined
uniprot.P03372	undefined	undefined
uniprot.P04156	undefined	undefined
uniprot.P04179	undefined	undefined
uniprot.A0A0E3SU01	undefined	undefined
uniprot.D3DN88	undefined	undefined
uniprot.A0A384NL29	undefined	undefined
uniprot.A0A384NKS6	undefined	undefined
uniprot.B7Z6Y2	undefined	undefined
uniprot.B7Z3K2	undefined	undefined
uniprot.B7Z3Z4	undefined	undefined
uniprot.B7Z2Z2	undefined	undefined
uniprot.F8W7W8	undefined	undefined
uniprot.B7Z242	undefined	undefined
uniprot.A0A0S2Z3D5	undefined	undefined
uniprot.A0A0S2Z4D2	undefined	undefined
uniprot.A0A0S2Z478	undefined	undefined
uniprot.Q9NZC2	undefined	undefined
uniprot.P05067	undefined	undefined
uniprot.P05019	undefined	undefined
uniprot.P05198	undefined	undefined
uniprot.I3WAC9	undefined	undefined
uniprot.P05164	undefined	undefined
uniprot.Q9P2A4	undefined	undefined
uniprot.P06733	undefined	undefined
uniprot.C1ID52	undefined	undefined
uniprot.P06850	undefined	undefined
uniprot.P06276	undefined	undefined
uniprot.P06213	undefined	undefined
uniprot.A0A024R2C4	undefined	undefined
uniprot.A0A024R2B3	undefined	undefined
uniprot.A0A024R3H2	undefined	undefined
uniprot.A0A024R3E8	undefined	undefined
uniprot.A0A024R3F9	undefined	undefined
uniprot.A0A024R3D7	undefined	undefined
uniprot.A0A024R3D5	undefined	undefined
uniprot.A0A024R0Q4	undefined	undefined
uniprot.O14556	undefined	undefined
uniprot.A0A024R5U5	undefined	undefined
uniprot.A0A024R5P1	undefined	undefined
uniprot.A0A024R6A3	undefined	undefined
uniprot.A0A024R6R5	undefined	undefined
uniprot.A0A024R4F1	undefined	undefined
uniprot.A0A024R5L7	undefined	undefined
uniprot.A0A024R9Y1	undefined	undefined
uniprot.A0A024R9Y0	undefined	undefined
uniprot.A0A024QZM9	undefined	undefined
uniprot.B3KU87	undefined	undefined
uniprot.B3KTM0	undefined	undefined
uniprot.A2A2V4	undefined	undefined
uniprot.A0A024RD37	undefined	undefined
uniprot.A0A024RD33	undefined	undefined
uniprot.B3KUJ3	undefined	undefined
uniprot.A0A024RA19	undefined	undefined
uniprot.A0A024RA17	undefined	undefined
uniprot.A0A024RAI5	undefined	undefined
uniprot.A0A024RAI6	undefined	undefined
uniprot.A0A024RAI4	undefined	undefined
uniprot.A0A024RAJ2	undefined	undefined
uniprot.A0A024RAJ3	undefined	undefined
uniprot.A0A024RAG9	undefined	undefined
uniprot.A0A024RAG8	undefined	undefined
uniprot.A0A024RAE9	undefined	undefined
uniprot.A0A024RAF6	undefined	undefined
uniprot.A0A024RAF0	undefined	undefined
uniprot.A0A024RAF1	undefined	undefined
uniprot.B3KSB8	undefined	undefined
uniprot.O00499	undefined	undefined
uniprot.O14672	undefined	undefined
uniprot.O14773	undefined	undefined
uniprot.O14863	undefined	undefined
uniprot.P08069	undefined	undefined
uniprot.A0A0A6YYA8	undefined	undefined
uniprot.A0A0Y0IMM4	undefined	undefined
uniprot.C9J5X1	undefined	undefined
uniprot.F7VJQ1	undefined	undefined
uniprot.Q5SXY3	undefined	undefined
uniprot.Q6FI27	undefined	undefined
uniprot.Q5STB3	undefined	undefined
uniprot.Q6FH11	undefined	undefined
uniprot.Q5SNW7	undefined	undefined
uniprot.Q5TCX1	undefined	undefined
uniprot.H0Y4W6	undefined	undefined
uniprot.Q13429	undefined	undefined
uniprot.Q13492	undefined	undefined
uniprot.D6W579	undefined	undefined
uniprot.Q5U743	undefined	undefined
uniprot.P09601	undefined	undefined
uniprot.P20138	undefined	undefined
uniprot.G5E9P6	undefined	undefined
uniprot.G5E9Y1	undefined	undefined
uniprot.A0A140VJC8	undefined	undefined
uniprot.P49768	undefined	undefined
uniprot.P49841	undefined	undefined
uniprot.P49810	undefined	undefined
uniprot.P60174	undefined	undefined
uniprot.Q9BZA7	undefined	undefined
uniprot.Q7LC44	undefined	undefined
uniprot.Q13867	undefined	undefined
uniprot.A8KAF4	undefined	undefined
uniprot.Q9BTH3	undefined	undefined
uniprot.Q00059	undefined	undefined
uniprot.Q9UG59	undefined	undefined
uniprot.Q9UBT1	undefined	undefined
uniprot.P21709	undefined	undefined
uniprot.Q92673	undefined	undefined
uniprot.Q92542	undefined	undefined
uniprot.Q92870	undefined	undefined
